연도,시도,시군구,읍면동,일반수급자 가구수,일반수급자 수급권자수,조건부수급자 가구수,조건부수급자 수급권자수,특례수급자 가구수,특례수급자 수급권자수,기타 가구수,기타 수급권자수,시설수급자 가구수,시설수급자 수급권자수
2022,부산광역시,서구,서대신3동,251,334,24,50,7,10,0,0,5,5
2022,부산광역시,서구,서대신4동,210,281,16,27,8,11,0,0,44,44
2022,부산광역시,서구,부민동,359,494,42,64,6,7,0,0,0,0
2022,부산광역시,서구,아미동,958,1167,37,63,20,24,0,0,26,26
2022,부산광역시,서구,초장동,575,708,31,40,14,18,0,0,0,0
2022,부산광역시,서구,충무동,653,776,55,87,17,20,0,0,1,1
2022,부산광역시,서구,남부민1동,536,654,33,50,17,22,0,0,0,0
2022,부산광역시,서구,남부민2동,938,1256,76,125,28,37,0,0,0,0
2022,부산광역시,서구,암남동,597,767,56,97,18,22,0,0,184,184
2022,부산광역시,동구,동구,1,1,0,0,0,0,0,0,54,54
2022,부산광역시,동구,초량1동,383,467,67,121,9,12,0,0,0,0
2022,부산광역시,동구,초량2동,571,702,157,228,20,22,0,0,1,1
2022,부산광역시,동구,초량3동,370,459,76,104,12,18,0,0,12,12
2022,부산광역시,동구,초량6동,523,694,68,126,23,31,0,0,0,0
2022,부산광역시,동구,수정1동,271,369,44,83,10,15,0,0,0,0
2022,부산광역시,동구,수정2동,686,879,168,293,16,21,0,0,0,0
2022,부산광역시,동구,수정4동,470,576,62,104,10,15,0,0,1,1
2022,부산광역시,동구,수정5동,534,677,100,168,17,20,0,0,0,0
2022,부산광역시,동구,좌천동,790,1035,170,318,13,21,0,0,1,1
2022,부산광역시,동구,범일1동,1055,1341,218,355,15,17,0,0,13,13
2022,부산광역시,동구,범일2동,491,556,121,144,8,8,0,0,0,0
2022,부산광역시,동구,범일5동,271,310,34,46,3,5,0,0,0,0
2022,부산광역시,영도구,영도구,3,2,0,0,0,0,0,0,95,95
2022,부산광역시,영도구,남항동,579,697,100,147,4,4,0,0,1,1
2022,부산광역시,영도구,영선1동,185,221,27,46,2,2,0,0,0,0
2022,부산광역시,영도구,영선2동,359,462,47,84,4,4,0,0,1,1
2022,부산광역시,영도구,신선동,869,1095,127,209,3,4,0,0,4,4
2022,부산광역시,영도구,봉래1동,365,428,37,71,7,9,0,0,1,1
2022,부산광역시,영도구,봉래2동,395,496,67,112,3,3,0,0,0,0
2022,부산광역시,영도구,청학1동,435,562,59,92,4,4,0,0,0,0
2022,부산광역시,영도구,청학2동,786,1050,154,278,11,17,0,0,25,25
2022,부산광역시,영도구,동삼1동,2109,2716,348,649,17,22,0,0,46,46
